Kerkstraat,131,1082,SINT-AGATHA-BERCHEM,
Emile Verhaerenstraat,71,2890,SINT-AMANDS,
Dorpsstraat,42,1640,SINT-GENESIUS-RODE,
Emile Feronstraat,173,1060,SINT-GILLIS,
Kerkstraat,67,9170,SINT-GILLIS-WAAS,
Hovenierstraat,47A,1080,SINT-JANS-MOLENBEEK,
Grensstraat ,2,1210,SINT-JOOST-TEN-NODE,
Leyland,1,2860,SINT-KATELIJNE-WAVER,
Sint-Lambertusstraat,91,1200,SINT-LAMBRECHTS-WOLUWE,
Leemweg,24,9980,SINT-LAUREINS,
Fabrieksstraat,19,9520,SINT-LIEVENS-HOUTEM,
Latemstraat,78,9830,SINT-MARTENS-LATEM,
Hendrik Heymanplein,3,9100,SINT-NIKLAAS,
Rink,2,1600,SINT-PIETERS-LEEUW,
Grote Prijzenlaan,63,1150,SINT-PIETERS-WOLUWE,
Minderbroedersstraat,25,3800,SINT-TRUIDEN,
Smoutakker,30,2940,STABROEK,
Ooststraat,2,8840,STADEN,
Mulslaan,4,1820,STEENOKKERZEEL,
Stadionstraat,51,9190,STEKENE,
Oeverstraat,15,9140,TEMSE,
Gemeentehuisstraat,21,1740,TERNAT,
Pastoor Vandersandestraat,15,3080,TERVUREN,
Rodeheide,3,3980,TESSENDERLO,
Lakenmarkt,9,8700,TIELT,
Blerebergstraat,4,3390,TIELT-WINGE,
Grote Markt,3,3300,TIENEN,
Dijk,111,3700,TONGEREN,
Ravenhofstraat,9,8820,TORHOUT,
Kruisstraat,12,3120,TREMELO,
Kasteeldreef,10,2300,TURNHOUT,
De Broyerstraat,27,1180,UKKEL,
Sint-Denisplaats,16,8630,VEURNE,
Grote Markt,9,1800,VILVOORDE,
Berneauweg,40,3798,'S GRAVENVOEREN,
Nieuwstraat,15,2290,VORSELAAR,
Van Volxemlaan,364,1190,VORST,
CINGEL,7,2350,VOSSELAAR,
Nieuwstraat,6,9950,WAARSCHOOT,
Nijverheidslaan,48,9250,WAASMUNSTER,
Dr.Jules Persynplein,7,9185,WACHTEBEKE,
Schakelstraat,10,8790,WAREGEM,
Thomsonlaan,3,1170,WATERMAAL-BOSVOORDE,
Dorpsplein,12,3830,WELLEN,
J. De Ridderlaan,49,1780,WEMMEL,
Sint-Pol,3,8940,WERVIK,
Kasteelpark,5,2260,WESTERLO,
Markt,27,9230,WETTEREN,
Deken Jonckheerestraat 18,18,8560,WEVELGEM,
Dorp,1,9260,SCHELLEBELLE,
Molenstraat,69,8710,WIELSBEKE,
Turnhoutsebaan,199,2110,WIJNEGEM,
Schoolweg,1A,2830,WILLEBROEK,
Gemeenteplein,1,8750,WINGENE,
Welkomstraat,32,2160,WOMMELGEM,
Rozenhof,128,9790,PETEGEM-AAN-DE-SCHELDLE,
Dorpsstraat,36,2990,WUUSTWEZEL,
Amelbergastraat,42,2240,ZANDHOVEN,
Willem Lambertstraat,1A,1930,ZAVENTEM,
Stadionlaan,50,8210,ZEDELGEM,
Lokerenbaan,41,9240,ZELE,
Burgemeester Jos. Chalmetlaan,50,9060,ZELZATE,
Schoolstraat,23,1980,ZEMST,
Huiseplein,16,9750,HUISE,
Dorp,54,2980,ZOERSEL,
Den Boer,15,9930,ZOMERGEM,
Kerkplein,80,3520,ZONHOVEN,
Berten Pilstraat,5,8980,ZONNEBEKE,
Kasteel van Egmont,/,9620,ZOTTEGEM,
Vincent Betsstraat,16,3440,ZOUTLEEUW,
Gaston Martensplein,9,9870,ZULTE,
Oosterzonneplein,6,3690,ZUTENDAAL,
Sportlaan,1,9630,MUNKZWALM,
Bekaertstraat,13,8550,ZWEVEGEM,
Binnenplein,1,2070,ZWIJNDRECHT,
